					5G v 5G								4G v 4G								5G v 4G								4G v 5G								
J	P	Name	Team	GP	TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		
41	D	ANDREJ MESZAROS	bos	14	229	-2.0	-2.0	-0.1	-0.5	-0.4	-2.9		4	-0.0	-0.0	0.1	0.0	-0.0	0.0		17	2.0	0.3	0.1	-0.4	-0.2	-0.2		12	-1.3	-0.1	-0.1	-0.1	-0.2	-0.5		
42	D	ZACH TROTMAN	bos	1	13	0.3	0.3	-0.1	-0.0	-0.0	0.2		0	0.0	0.0	0.0	0.0	-0.0	-0.0		3	0.1	-0.2	0.0	0.0	-0.0	-0.2		0	0.0	0.0	0.0	0.0	0.0	0.0		
43	D	MATT BARTKOWSKI	bos	64	1088	5.4	5.4	0.2	-2.3	-2.6	0.6		28	0.1	0.1	0.0	0.0	-0.1	-0.0		10	0.6	-0.4	0.1	-0.1	-0.1	-0.4		107	-6.6	3.8	-0.6	-0.3	-0.8	2.0		
44	D	DENNIS SEIDENBERG	bos	34	613	-3.1	-3.1	0.9	-1.4	-1.9	-5.5		17	0.1	0.1	-0.1	-0.1	-0.1	-0.2		16	1.6	-0.0	0.4	-0.3	-0.2	-0.1		74	-6.3	0.9	-0.4	0.0	-0.5	0.1		
46	C	DAVID KREJCI	bos	80	1221	5.7	5.7	0.2	0.0	-4.3	1.6		36	0.2	0.2	-0.1	0.0	-0.1	-0.0		199	21.7	2.5	-0.9	-0.0	-1.3	0.2		46	-4.2	0.3	-0.1	-0.2	-0.3	-0.2		
47	D	TOREY KRUG	bos	79	1114	8.3	8.3	-3.1	-2.0	-2.2	1.0		31	-0.4	-0.4	0.1	-0.0	-0.1	-0.4		192	21.8	3.3	-0.9	-0.2	-1.0	1.2		16	-1.0	0.6	-0.3	-0.1	-0.1	0.2		
51	C	RYAN SPOONER	bos	23	229	0.3	0.3	-0.2	-0.6	-0.1	-0.7		8	0.5	0.5	-0.1	-0.0	-0.1	0.3		41	3.1	-1.0	-0.1	0.3	-0.5	-1.3		8	-1.1	-0.3	-0.3	0.0	-0.1	-0.6		
52	C	MATT LINDBLAD	bos	2	21	-0.7	-0.7	0.0	0.1	0.0	-0.6		0	0.1	0.1	-0.0	-0.0	-0.0	0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		1	0.2	0.4	0.0	-0.0	-0.0	0.3		
54	D	ADAM MCQUAID	bos	30	415	1.6	1.6	0.5	-0.1	-0.8	1.2		5	0.7	0.7	0.0	-0.0	-0.0	0.7		0	0.0	-0.0	0.0	-0.0	0.0	-0.0		53	-3.9	1.3	-0.2	-0.1	-0.4	0.5		
55	D	JOHNNY BOYCHUK	bos	75	1293	13.3	13.3	0.7	-1.7	-3.8	8.6		36	0.6	0.6	0.1	-0.1	-0.1	0.4		21	1.9	-0.2	0.2	-0.2	-0.3	-0.4		207	-21.2	-1.3	0.8	0.5	-1.6	-1.7		
57	L	JUSTIN FLOREK	bos	4	41	-0.1	-0.1	0.2	0.2	-0.0	0.3		0	0.1	0.1	-0.0	-0.0	-0.0	0.0		1	-0.1	-0.2	-0.0	0.0	0.1	-0.1		2	0.2	0.4	-0.0	0.0	-0.1	0.3		
61	L	CRAIG CUNNINGHAM	bos	2	17	-0.0	-0.0	-0.0	0.0	0.0	0.0		0	0.0	-0.0	0.0	-0.0	0.0	-0.0		0	-0.1	-0.1	-0.0	0.0	0.0	-0.1		0	-0.3	-0.3	-0.0	-0.0	-0.0	-0.3		
62	D	ZACH TROTMAN	bos	1	12	0.0	0.0	0.0	0.0	0.0	0.1		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
63	C	BRAD MARCHAND	bos	82	1096	12.8	12.8	-0.9	-0.4	-6.5	5.0		28	0.9	0.9	0.0	-0.1	-0.3	0.4		38	3.2	-0.5	0.4	-0.3	-0.6	-1.0		129	-10.5	1.9	0.3	0.2	-1.3	1.1		
76	C	ALEXANDER KHOKHLACHEV	bos	1	15	-0.1	-0.1	0.1	0.2	-0.1	0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	-0.1	-0.1	-0.0	0.0	0.0	-0.1		0	0.0	0.0	0.0	0.0	0.0	0.0		
79	D	DAVID WARSOFSKY	bos	6	80	0.4	0.4	-0.2	-0.4	-0.2	-0.4		1	-0.4	-0.4	-0.0	0.0	-0.0	-0.4		15	1.5	0.1	0.0	0.1	-0.1	0.1		0	-0.1	-0.0	0.0	-0.0	-0.0	-0.0		
86	D	KEVAN MILLER	bos	47	711	1.5	1.5	-1.3	-1.4	-1.1	-2.4		6	-0.1	-0.1	-0.0	0.0	-0.0	-0.1		2	-0.0	-0.3	0.1	-0.2	-0.0	-0.4		86	-5.5	2.8	-0.4	-0.3	-0.5	1.5		
